title,artist,year,spotify_url
Unstoppable,Sia,2016,https://open.spotify.com/track/0rIQnAMAUvJo3yLT2FBwTb
Attention,Charlie Puth,2017,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
Bodak Yellow,Cardi B,2017,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM
How Long,Charlie Puth,2017,https://open.spotify.com/track/6wmAHw1szh5RCKSRjiXhPe
IDGAF,Dua Lipa,2017,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
LOVE. FEAT. ZACARI.,"Kendrick Lamar, Zacari",2017,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
New Rules,Dua Lipa,2017,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
Thunder,Imagine Dragons,2017,https://open.spotify.com/track/26gceVsA1ybT8qsX3aYLEn
Better Now,Post Malone,2018,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
I'm a Mess,Bebe Rexha,2018,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
7 rings,Ariana Grande,2019,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
Adore You,Harry Styles,2019,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
bad guy,Billie Eilish,2019,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
Blinding Lights,The Weeknd,2019,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
Circles,Post Malone,2019,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
hot girl bummer,blackbear,2019,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
Robbery,Juice WRLD,2019,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
Say So,Doja Cat,2019,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
Break My Heart,Dua Lipa,2020,https://open.spotify.com/track/1raaNykBg1bDnWENUiglUA
Heat Waves,Glass Animals,2020,https://open.spotify.com/track/6CDzDgIUqeDY5g8ujExx2f
Levitating,"Dua Lipa, DaBaby",2020,https://open.spotify.com/track/463CkQjx2Zk1yXoBuierM9
Midnight Sky,Miley Cyrus,2020,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
Physical,Dua Lipa,2020,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
Bad Habits,Ed Sheeran,2021,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
Easy On Me,Adele,2021,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
good 4 u,Olivia Rodrigo,2021,https://open.spotify.com/track/6PERP62TejQjgHu81OHxgM
Need to Know,Doja Cat,2021,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
Shivers,Ed Sheeran,2021,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
Woman,Doja Cat,2021,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
About Damn Time,Lizzo,2022,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
Anti-Hero,Taylor Swift,2022,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu
As It Was,Harry Styles,2022,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
I Ain't Worried,OneRepublic,2022,https://open.spotify.com/track/4h9wh7iOZ0GGn8QVp4RAOB
Flowers,Miley Cyrus,2023,https://open.spotify.com/track/0yLdNVWF3Srea0uzk55zFn
